Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-on
California Turkey Club Sandwich,710,332,36.8,6.9,0,89.2,1400.6,62.7,6.6,6.3,37.1,18,25,5,24,0,0,0,0,1,1,0,1,0,0,0
Salmon Salad Sandwich,577,233,25.8,5.9,0.1,77,804.7,56.4,2.3,2.4,29.3,41,27,15,52,0,0,0,0,1,1,1,1,0,1,0
Four Cheese Macaroni,752,260,28.8,12.3,0.1,50.2,1655.1,93.2,6,9.1,29,46,1,47,22,1,0,0,0,1,1,1,0,0,0,0
Chicken Noodle Soup,115,16,1.8,0.5,0,31.4,197.8,10.8,1,1.2,13.1,40,3,2,4,0,0,0,0,1,1,1,0,0,0,0
Tomato & Wild Rice Soup,68,13,1.5,0.2,0,0,160,18.4,1.8,1.7,1.5,4,12,3,8,0,1,0,0,0,1,0,0,0,0,0
Seafood Leek & Tomato Chowder,108,24,2.7,0.5,0,87.1,567.3,6.2,0.7,0.3,12.9,4,11,3,4,0,0,0,0,0,0,1,0,1,1,0
Ground Beef Chili,292,105,11.7,3.9,0,29.5,3482.5,25.8,7.1,4.6,15.3,16,33,6,57,0,0,0,0,0,0,0,0,0,0,0
Arborio Spinach Soup,94,22,2.4,0.3,0,0,188.9,16,1.1,0.9,2.2,39,29,3,7,0,1,0,0,0,1,0,0,0,0,0
Tuscan Bean Soup,122,9,1.1,0.2,0,0,780.1,22.5,6.5,2.3,7.8,6,16,8,12,0,1,0,0,0,1,0,0,0,0,0
Turkey & Lentil Soup,120,20,2.2,1,0,16.2,124.1,14.8,1,1.6,9.8,46,4,3,9,0,0,0,0,1,1,1,0,0,0,0
Boston Clam Chowder,286,145,16.1,6.2,0.2,68.1,926.5,20.4,1.7,3.1,14.9,7,9,7,17,0,0,0,0,1,1,1,0,1,1,0
Chicken Kale & Mushroom Soup,86,25,2.7,0.5,0,19.9,273.5,5.7,1.1,1.7,9,40,31,3,4,0,0,0,0,1,1,1,0,0,0,0
Sourdough Bread Boule,566,15,1.6,0.3,0,0.5,1101.3,117.3,6,6.5,17.1,0,0,6,35,0,1,0,0,1,0,0,0,0,0,0
Greek Style Roasted Tri Tip Sandwich,585,239,26.5,8.5,0,83.2,1552.6,56.8,0.9,6.9,30.6,5,27,21,29,0,0,0,0,1,0,1,0,0,0,0
Buffalo Chicken Wings,374,221,24.5,11.5,0.5,203.4,1551.2,0,0,0,36.6,10,0,2,8,0,0,0,0,0,0,1,0,0,0,0
The Bruin Steak n' Cheese Sandwich,684,273,30.2,11.5,0,119.7,1406.4,56.6,1.4,6.9,45,33,148,23,33,0,0,0,0,1,1,1,0,0,0,0
Chicken & Waffle Sandwich,702,259,28.7,6.6,2,86.3,1048.4,88,2.4,23.9,24.9,44,23,14,28,0,0,0,0,1,1,1,1,0,1,0
California Pasta Salad,139,77,8.5,1.1,0,0,970,13.7,1,1.7,2.2,45,30,2,58,0,1,0,0,1,0,0,0,0,0,0
Potato Macaroni Salad,163,60,6.6,1.2,0,50.6,247.4,22.1,1.1,1.9,4.1,17,6,2,11,1,0,0,0,1,1,0,1,0,0,0
Sesame & Orange Noodle Salad,40,1,0.1,0,0,0,29.6,8.8,0.5,0.7,1.4,4,4,2,2,0,1,0,0,1,1,0,0,0,0,0
Spicy Coleslaw,76,35,3.9,0.6,0,2.8,242,10.1,2.6,4.4,1.6,78,46,4,4,1,0,0,0,0,1,0,1,0,0,0
French Onion SunChips,140,54,6,0.7,0,0,93.3,19.3,2.7,2,2,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
Harvest Cheddar SunChips,140,54,6,1,0,0,186.6,18.7,2,2,2,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0
Original SunChips,134,66,7.3,0.9,0.2,0,140.6,16.3,1.4,0.3,1.6,0,0,4,2,0,1,0,0,1,0,0,0,0,0,0
The Better Chip Beet Whole Grain Chips,210,95,10.5,0.8,,0,90,27,3,0,3,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0
The Better Chip Spinach & Kale Whole Grain Chips,210,95,10.5,0.8,,0,90,27,3,0,3,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0
Banana,117,4,0.4,0.1,0,0,1.3,29.9,3.4,16,1.4,2,19,1,2,0,1,0,0,0,0,0,0,0,0,0
Fuji Apple,59,2,0.2,0,0,0,1.1,15.6,2.7,11.8,0.3,1,9,1,1,0,1,0,0,0,0,0,0,0,0,0
Granny Smith Apple,116,3,0.4,0.1,0,0,2.2,30.8,5.4,23.2,0.6,2,17,1,1,0,1,0,0,0,0,0,0,0,0,0
Orange,45,1,0.1,0,0,0,0,11.2,2.3,8.9,0.9,4,85,4,1,0,1,0,0,0,0,0,0,0,0,0
Fresh Berry Parfait,231,4,0.5,0,0,0,128.5,25.6,4.4,20.1,31.1,2,53,25,3,1,0,0,0,0,0,1,0,0,0,0
Fresh Fruit Cup,76,3,0.4,0.1,0,0,19.9,18.9,1.4,16.8,1.3,54,65,2,2,0,1,0,0,0,0,0,0,0,0,0
Vanilla Yogurt Parfait Cup,524,64,7.1,3,0,18.4,348.7,97.3,1.7,73.4,22,4,26,65,11,1,0,0,1,1,0,1,0,0,0,0
Cashew Butter & Grape Jelly Sandwich,701,356,39.4,7.8,0,0,13.6,82.5,2.6,58.9,13,0,0,4,28,1,0,1,1,1,0,0,0,0,0,0
Cashew Butter & Strawberry Preserves Sandwich,701,356,39.4,7.8,0,0,13.6,83.1,2.6,55.3,13,0,0,4,28,1,0,1,1,1,0,0,0,0,0,0
Curry Chicken Salad Croissant Sandwich,621,304,33.8,1.6,0,52.4,831.6,51.2,2.2,2.2,28.5,69,33,10,35,0,0,0,0,1,1,1,1,0,0,0
Ham & Swiss Sandwich on Whole Grain,725,350,38.8,5.6,0,82.2,1745.1,62.2,0.8,5.7,37,16,14,31,25,0,0,0,0,1,1,1,1,0,0,0
Peanut Butter & Grape Jelly Sandwich,713,387,42.9,8.9,0,0,390.4,71.3,5.1,62.5,21.3,0,0,4,9,1,0,1,0,1,1,0,0,0,0,0
Peanut Butter & Strawberry Preserves Sandwich,713,387,42.9,8.9,0,0,390.4,71.9,5.1,58.9,21.3,0,0,4,9,0,1,1,0,1,1,0,0,0,0,0
Roast Beef Sandwich on Whole Grain,804,374,41.5,13.2,0,131.8,1158.2,64.5,0.8,5.5,47,19,14,31,34,0,0,0,0,1,1,1,1,0,0,0
Roasted Turkey & Provolone Sandwich on Whole Grain,1059,677,75,14.6,0,91.1,1206.7,65,1,5.6,36.8,18,14,33,27,0,0,0,0,1,1,1,1,0,0,0
BBQ Chicken Wrap,602,167,18.5,7.9,0,100.4,1336.2,67.8,3,15.5,42.9,74,21,27,14,0,0,0,0,1,1,1,0,0,0,0
Chicken Caesar Wrap,773,429,47.5,10,0,109,1149.5,46.7,2.6,6.4,41,105,12,26,14,0,0,0,0,1,1,1,1,0,1,0
Korean Steak Wrap,736,321,35.5,7.8,0,52.7,1412.8,77.6,6.3,16.7,30.8,177,43,9,24,0,0,0,0,1,1,0,1,0,1,0
Korean Vegetable Wrap,344,162,17.9,2.6,0,0,1207.8,31.4,5.9,20.4,19,131,26,70,27,0,0,0,0,1,1,0,0,0,1,0
Mediterranean Vegetable Wrap,547,243,26.9,7.1,0,15.2,1258.5,64.8,8.5,6.9,15.6,146,119,21,31,1,0,0,0,1,1,1,0,0,0,0
Caesar Salad,137,73,8.1,5,0,20.4,489.9,4.7,2.4,1.6,12.1,202,8,39,7,1,0,0,0,0,0,1,0,0,0,0
Chicken Caesar Salad,564,338,37.5,7.4,0,122,649.5,17.1,1.6,0.8,41.5,103,11,16,19,0,0,0,0,1,1,1,1,0,1,0
Chinese Chicken Salad,343,125,13.8,1.6,0,82.4,218.1,18.2,3.2,3.5,36.2,105,5,9,17,0,0,0,1,1,1,0,0,0,0,0
Chinese Wonton Salad,361,267,29.6,3.3,0,0,500,19.9,3.6,4.8,7.2,105,5,8,12,1,0,0,1,1,1,0,0,0,0,0
Grilled Chicken Bacon & Gorgonzola Salad,491,239,26.5,10.6,0,147.2,1266.2,10.4,2.5,3.5,53.2,138,142,22,28,0,0,0,0,0,1,1,0,0,0,0
Mixed Field Greens w/ Apples & Berries,181,69,7.7,0.8,0,0.1,93.3,29.3,6.1,13.6,5,104,70,10,20,0,1,0,0,0,0,0,0,0,0,0
Protein Box,815,455,50.5,15.9,0,408.1,770.6,62.1,5.3,47.4,35.5,18,18,36,19,0,0,1,1,1,1,1,1,0,0,0
Santa Fe Chicken Salad,710,369,40.9,14.4,0,129.5,1005.9,42.3,10.6,8.2,45.7,195,106,58,38,0,0,0,0,0,1,1,1,0,0,0
Seafood Cobb Salad,607,459,50.9,13,0,172.5,2783.6,12.3,4.5,4.1,26.9,102,34,23,14,0,0,0,0,0,0,1,1,1,1,0
Tuna Salad,640,460,51,9,0,218.6,2076.6,23.1,1.8,15.3,24.4,66,12,8,30,0,0,0,0,0,1,0,1,0,1,0
Turkey Candied Walnut & Grape Salad,360,203,22.5,2.7,0,49.3,265,19.2,3.1,15.3,22.6,103,20,7,13,0,0,0,1,0,0,0,0,0,0,0
Vegetarian Cobb Salad,421,350,38.8,7.3,0,191.8,536.8,9.6,3.7,5,10,82,40,10,10,1,0,0,0,0,0,1,1,0,0,0
California Pasta Salad,139,77,8.5,1.1,0,0,970,13.7,1,1.7,2.2,45,30,2,58,0,1,0,0,1,0,0,0,0,0,0
Potato Macaroni Salad,163,60,6.6,1.2,0,50.6,247.4,22.1,1.1,1.9,4.1,17,6,2,11,1,0,0,0,1,1,0,1,0,0,0
Sesame & Orange Noodle Salad,40,1,0.1,0,0,0,29.6,8.8,0.5,0.7,1.4,4,4,2,2,0,1,0,0,1,1,0,0,0,0,0
Spicy Coleslaw,76,35,3.9,0.6,0,2.8,242,10.1,2.6,4.4,1.6,78,46,4,4,1,0,0,0,0,1,0,1,0,0,0
Banana,117,4,0.4,0.1,0,0,1.3,29.9,3.4,16,1.4,2,19,1,2,0,1,0,0,0,0,0,0,0,0,0
Fuji Apple,59,2,0.2,0,0,0,1.1,15.6,2.7,11.8,0.3,1,9,1,1,0,1,0,0,0,0,0,0,0,0,0
Granny Smith Apple,116,3,0.4,0.1,0,0,2.2,30.8,5.4,23.2,0.6,2,17,1,1,0,1,0,0,0,0,0,0,0,0,0
Orange,45,1,0.1,0,0,0,0,11.2,2.3,8.9,0.9,4,85,4,1,0,1,0,0,0,0,0,0,0,0,0
French Onion SunChips,140,54,6,0.7,0,0,93.3,19.3,2.7,2,2,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
Harvest Cheddar SunChips,140,54,6,1,0,0,186.6,18.7,2,2,2,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0
Original SunChips,134,66,7.3,0.9,0.2,0,140.6,16.3,1.4,0.3,1.6,0,0,4,2,0,1,0,0,1,0,0,0,0,0,0
The Better Chip Beet Whole Grain Chips,210,95,10.5,0.8,,0,90,27,3,0,3,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0
The Better Chip Spinach & Kale Whole Grain Chips,210,95,10.5,0.8,,0,90,27,3,0,3,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0
Apple Turnover,302,146,16.2,3.2,3.8,0,291.6,38.9,3.2,8.6,4.3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Assorted Bagels,200,11,1.3,0.3,0,0,403.3,39.4,1.7,3.9,7.8,0,1,7,26,0,0,0,0,1,1,0,0,0,0,0
Banana Walnut Muffin,790,463,51.3,5.6,0,96.4,642.8,75.8,2.2,41.2,9.8,3,1,15,13,1,0,0,1,1,1,1,1,0,0,0
Blueberry Muffin,787,420,46.5,7.1,0.1,105.8,726.9,86.1,1.8,48.3,8,4,1,16,11,1,0,0,0,1,1,1,1,0,0,0
Bran Muffin,722,392,43.4,6.2,0.2,73.3,891.7,74.9,0.2,0.9,8.9,5,1,24,15,1,0,0,0,1,1,1,1,0,0,0
Butter Croissant,448,228,25.3,0,0,0,576.4,46.2,0.4,0,9.3,3,0,5,22,1,0,0,0,1,1,1,1,0,0,0
Cheese Danish,350,185,20.5,6.4,,21.5,301.2,34.8,0.9,6.5,7.5,2,0,3,8,1,0,0,1,1,1,1,1,0,0,0
Cherry Turnover,281,146,16.2,3.2,3.8,0,291.6,36.7,3.2,7.6,5.4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Chocolate Bouchon,647,410,45.4,21.1,1,222.9,47.4,56.4,2.2,43.6,6,23,0,4,11,1,0,0,0,0,1,1,1,0,0,0
Chocolate Chip Cookie,518,234,25.9,13,0,32.4,421.2,68,0,42.1,3.2,6,0,0,6,1,0,0,0,1,1,1,1,0,0,0
Chocolate Hazelnut  Croissant,391,199,22.1,0,0,0,503.3,40.3,0.4,0,8.1,3,0,4,19,1,0,0,1,1,1,1,1,0,0,0
Cinnamon Roll,686,273,30.2,5.7,0,121.6,560.2,93.8,4.4,58.5,11.4,8,6,13,16,1,0,0,0,1,1,1,1,0,0,0
Double Chocolate Chip Cookie,425,192,21.3,5.3,0,26.6,239.2,47.8,5.3,21.3,5.3,21,0,0,11,1,0,0,0,1,1,1,1,0,0,0
M&M Cookie,605,273,30.2,7.6,3.8,0,378,75.6,0,37.8,7.6,0,0,0,15,1,0,0,0,1,1,0,1,0,0,0
Mocha Chocolate Chip Muffin,813,447,49.5,8.8,0,99.8,671.1,86.9,1.1,41.4,8.4,3,0,16,12,1,0,0,0,1,1,1,1,0,0,0
Palmier / Crispy,554,345,38.2,5.5,0,0,251,45.3,1.5,0.7,7.3,0,0,1,14,1,0,0,0,1,0,1,0,0,0,0
Pumpkin Scones,463,171,19,11.4,0.6,68,513.1,66.7,4,18.3,7.2,58,2,6,17,1,0,0,0,1,0,1,1,0,0,0
Raspberry Danish,415,193,21.4,6.4,0,58.2,332.6,49.3,0,7.6,6.8,6,0,5,10,1,0,0,1,1,1,0,1,0,0,0
Vanilla Bean Cupcake,836,506,56.1,17.9,0.8,110,565.2,80.8,0.7,60.1,4.7,14,0,9,7,1,0,0,0,1,1,1,1,0,0,0
Vegan Oatmeal Cookie w/ Chocolate Chips & Walnuts,370,133,14.8,1.8,,0,184.9,51.8,3.7,25.9,7.4,0,0,55,22,0,1,0,0,1,1,0,0,0,0,0
Vegan Trail Mix Cookie,406,181,20.1,3.8,,0.9,353,50.1,1.5,27.1,8.2,0,0,3,12,0,1,1,0,1,1,0,0,0,0,0
Whole Wheat Croissant,310,162,18,11,1,45,290.2,32,1,4,5,4,2,0,10,1,0,0,0,1,1,1,1,0,0,0
Smoothie #01: Strawberry Sensation,385,60,6.6,3.9,0,2.3,107.4,81,3.3,73.4,6,6,215,18,7,1,0,0,0,0,0,1,0,0,0,0
Smoothie #02: Very Raspberry,173,6,0.6,0.2,0,2.3,73.1,40,4,28.7,5.9,13,105,19,7,1,0,0,0,0,0,1,0,0,0,0
Smoothie #03: Caribbean Island,235,14,1.6,0.7,0,0.6,41.7,55.6,4.8,45.3,2.3,14,174,6,7,1,0,0,0,0,0,1,0,0,0,0
Smoothie #04: Mango Madness,318,25,2.8,1.4,0,1.1,69.8,72.8,3.3,64.1,2.4,32,175,8,3,1,0,0,0,0,0,1,0,0,0,0
Smoothie #05: Bruin Fresh,406,28,3.1,1.6,0,3.4,123.4,93.1,7.3,66.6,7.8,5,159,25,8,1,0,0,0,0,0,1,0,0,0,0
Smoothie #06: Green Lemonade,553,116,12.8,9.4,0,2.3,219,106.6,3.4,92.1,7.6,146,180,25,12,1,0,0,0,0,1,1,0,0,0,0
